R,G,B,RL,GL,BL,R(Red),G(Green),B(Blue)
1,118,128,239,571,834,123,816,1305
8,128,142,280,665,983,140,689,795
35,64,88,201,319,502,105,663,1230
40,158,196,392,955,1652,211,1046,885
47,61,76,217,336,497,73,791,1125
48,59,57,205,308,400,128,612,840
50,64,56,225,350,438,109,893,975
52,138,93,292,720,682,127,740,990
63,138,36,302,744,530,84,740,1380
64,88,64,235,404,447,134,816,945
64,51,48,217,283,372,130,816,855
66,64,54,231,327,405,121,1071,990
68,62,64,240,328,452,146,893,960
87,170,128,414,1025,1001,157,1556,1260
90,158,192,460,978,1617,276,1479,1170
119,127,134,429,662,900,125,1556,1245
122,136,51,410,751,556,134,1607,975
123,128,112,454,733,823,113,791,720
127,195,225,706,1503,2429,219,1556,780
128,98,87,400,450,549,153,893,1080
128,53,50,425,316,431,176,969,1005
128,149,160,493,843,1192,136,1071,1485
134,58,66,480,362,517,171,1760,1920
143,134,102,526,742,776,328,740,1063
147,64,47,533,372,471,196,1224,2100
155,126,139,637,725,1045,286,1556,2205
158,180,192,781,1287,1826,226,1989,2385
170,128,52,650,741,626,190,1275,1575
178,194,22,780,1394,800,353,1097,990
184,192,195,891,1391,1866,382,2550,2535
189,192,179,920,1401,1683,307,2423,2355
192,210,173,1034,1725,1792,458,2091,2385
192,227,218,1067,1955,2404,295,2576,1575
192,175,208,1015,1263,2064,445,1836,4215
192,143,128,849,854,1033,272,2703,3090
192,134,80,758,720,688,163,2372,3795
195,58,54,956,427,614,558,3009,2685
199,133,56,854,781,674,267,2397,3585
205,113,123,1040,693,1009,437,1454,4515
221,119,136,1078,730,1088,550,4055,4290
254,211,64,1520,1715,1129,456,2678,3525
255,199,35,1520,1541,1014,293,2984,3840
